Date,Open,High,Low,Close
2019-12-31 17:00:00,7191.220739013,7191.284739013,7130.2189907448665,7141.152291152
2019-12-31 18:00:00,7141.152291152,7145.727979605,7119.145463119,7143.449939694
2019-12-31 19:00:00,7143.449939694,7154.917691665,7136.149312015,7147.132577429
2019-12-31 20:00:00,7147.132577429,7159.070061361,7139.723043429,7147.283069887
2019-12-31 21:00:00,7147.283069887,7158.556656804,7145.816069887,7158.556656804
2019-12-31 22:00:00,7158.556656804,7176.356282735,7154.877725607,7173.963856134
2019-12-31 23:00:00,7173.963856134,7177.683375679,7161.372816766,7168.184218111
2020-01-01 00:00:00,7168.184218111,7168.786418024,7154.521068191,7154.862502529
2020-01-01 01:00:00,7154.708502529,7198.299515653,7153.349401978,7188.285707353
2020-01-01 02:00:00,7188.323707353,7215.795712037,7188.323707353,7215.795712037
2020-01-01 03:00:00,7215.795712037,7215.902712037,7194.687611034,7199.22063328
2020-01-01 04:00:00,7199.22063328,7200.884542203,7189.593996798,7191.196639805
2020-01-01 05:00:00,7191.196639805,7199.04305654,7191.196639805,7195.046698813
2020-01-01 06:00:00,7195.046698813,7206.345023078,7195.046698813,7200.867305617
2020-01-01 07:00:00,7200.867305617,7207.48989481,7177.140141334,7183.391595088
2020-01-01 08:00:00,7183.391595088,7183.391595088,7157.593965398,7173.918941274
2020-01-01 09:00:00,7173.918941274,7181.937237326103,7167.424859482,7167.542659482
2020-01-01 10:00:00,7167.542659482,7184.596050268,7165.851559482,7180.014580808
2020-01-01 11:00:00,7180.014580808,7207.311883597,7169.122381532,7174.781891812
2020-01-01 12:00:00,7174.781891812,7202.163714218,7174.248691812,7201.417114218
2020-01-01 13:00:00,7201.417114218,7207.2114741,7196.619632106,7199.838618378
2020-01-01 14:00:00,7199.838618378,7211.401862432,7190.223694803,7199.304033225
2020-01-01 15:00:00,7199.699033225,7231.976130231,7197.993822169,7214.697399211
2020-01-01 16:00:00,7214.697399211,7225.248856842,7197.366949642,7225.248856842
2020-01-01 17:00:00,7223.639756842,7229.977601179,7210.058345965,7221.75618245
2020-01-01 18:00:00,7221.75618245,7228.086256596,7208.013606606,7220.207505028
2020-01-01 19:00:00,7220.207505028,7220.260776104,7205.051677685,7209.669481868
2020-01-01 20:00:00,7209.669481868,7220.167087913,7206.020738194,7215.393585298
2020-01-01 21:00:00,7215.393585298,7220.308016401,7207.457081868,7213.8937523
2020-01-01 22:00:00,7213.330081732,7214.2745268,7168.757851883,7174.967416358
2020-01-01 23:00:00,7174.660179716,7177.943334154,7159.206354954,7177.08691147
2020-01-02 00:00:00,7177.08691147,7184.218769929,7166.322547865,7184.196994151
2020-01-02 01:00:00,7184.196994151,7184.196994151,7163.182977298,7167.835802868
2020-01-02 02:00:00,7167.835802868,7167.835802868,7132.286273231,7145.430761265
