Date,Open,High,Low,Close,Mid_price,r,Impermanent_loss
2020-12-31 17:00:00,28400.938347107272,28741.948555170908,28381.506314124545,28586.441711210908,28400.938347107272,1,0
2020-12-31 18:00:00,28593.661319522726,28924.985807638182,28516.04193412909,28913.900844476364,28400.938347107272,1.0180614630087157,-4.005122234107539
2020-12-31 19:00:00,28914.469935385456,29034.950403805455,28792.958639015455,28930.545841972726,28400.938347107272,1.0186475351058037,-4.266788784945685
2020-12-31 20:00:00,28932.716751063635,29173.58886714,28918.38902379091,29168.21040800909,28400.938347107272,1.0270157292524797,-8.881952466144316
2020-12-31 21:00:00,29166.862408009092,29192.229982045454,28955.734120999092,29001.276353374546,28400.938347107272,1.021137963785919,-5.469104985611484
2020-12-31 22:00:00,28999.71453519273,29175.666022037272,28953.575457771818,29139.827319863638,28400.938347107272,1.0260163577599408,-8.245082507174484
2020-12-31 23:00:00,29142.4736835,29147.5436835,28847.736941316365,28969.678857453637,28400.938347107272,1.0200254126605044,-4.9139412222953816
2021-01-01 00:00:00,28976.257857453635,29081.703532251817,28760.456772898182,29063.17162316091,28400.938347107272,1.02331730268768,-6.64068766854653
2021-01-01 01:00:00,29055.186150844547,29520.551378098182,29029.210426203637,29467.625510184545,28400.938347107272,1.0375581662141073,-16.990087979606994
2021-01-01 02:00:00,29469.878328366365,29514.34428718909,29198.353638518183,29242.364093063636,28400.938347107272,1.0296266882337732,-10.654351619110436
2021-01-01 03:00:00,29242.798638518183,29393.48713056818,29223.923833067274,29347.60352914182,28400.938347107272,1.0333321797492994,-13.437236050406476
2021-01-01 04:00:00,29346.289892778183,29435.10896662727,29147.564072954545,29287.076978215453,28400.938347107272,1.0312010335812878,-11.798526420336852
2021-01-01 05:00:00,29285.376069124544,29287.242432760908,29165.653445534546,29239.15405456,28400.938347107272,1.0295136624434138,-10.574387472106483
2021-01-01 06:00:00,29239.009418196365,29316.745775134546,29165.10114491182,29222.78023948,28400.938347107272,1.0289371387074764,-10.171056799912481
2021-01-01 07:00:00,29224.823875843635,29239.646433246362,28933.55029090909,29158.53395804909,28400.938347107272,1.026675020440618,-8.662237898726666
2021-01-01 08:00:00,29159.034321685456,29222.731220643636,28950.194953887272,29080.93764198818,28400.938347107272,1.023942846062696,-6.99745730519119
2021-01-01 09:00:00,29080.181823806364,29373.719120905454,29051.81771670182,29277.92979639727,28400.938347107272,1.030878960355876,-11.559854453369045
2021-01-01 10:00:00,29278.115250942727,29402.62731598273,29239.854813511818,29292.580069124546,28400.938347107272,1.0313947979858944,-11.943253579782542
2021-01-01 11:00:00,29297.360823357274,29467.961974173635,29297.360823357274,29378.65344566909,28400.938347107272,1.0344254505471788,-14.31781680898414
2021-01-01 12:00:00,29378.947082032726,29668.238273536364,29257.38224679727,29309.762070263638,28400.938347107272,1.0319997780372256,-12.400624365538349
2021-01-01 13:00:00,29309.795706627272,29544.322824886363,29298.04739936,29540.039279431818,28400.938347107272,1.0401078625784408,-19.327013574743646
