Date,Open,High,Low,Close,Mid_price,r,Impermanent_loss
2020-12-31 17:00:00,727.82731634,743.053519746,727.414017973,737.795498522,727.82731634,1,0
2020-12-31 18:00:00,737.854498522,741.132944346,736.215693525,740.904544346,727.82731634,1.017967487221778,-3.963920828997658
2020-12-31 19:00:00,740.874544346,742.649879947,738.622893074,739.416944346,727.82731634,1.0159235958115456,-3.1196863526483654
2020-12-31 20:00:00,739.578344346,744.952219691,739.002344346,744.952219691,727.82731634,1.0235287999866718,-6.7602920838294445
2020-12-31 21:00:00,745.149538665,745.674538665,737.493027333,739.019673779,727.82731634,1.0153777650106381,-2.911051175114032
2020-12-31 22:00:00,739.042873779,742.971220917,737.16345713,741.522252375,727.82731634,1.018816188575976,-4.343593684896785
2020-12-31 23:00:00,741.430652375,742.465810231,734.299974406,737.34580383,727.82731634,1.013077947579469,-2.110243583808291
2021-01-01 00:00:00,737.39880383,739.734132713,731.202439529,735.703481112,727.82731634,1.0108214745382278,-1.4481015002787423
2021-01-01 01:00:00,735.688181112,749.895686935,735.106880586,749.791717249,727.82731634,1.0301780386856756,-11.048613147390807
2021-01-01 02:00:00,749.719617249,750.048954689,744.100420829,745.770053944,727.82731634,1.0246524652224211,-7.413202074146863
2021-01-01 03:00:00,746.214453944,748.165965276,745.2058385,746.479788182,727.82731634,1.0256276061962017,-8.00357932383422
2021-01-01 04:00:00,746.414788182,748.134489878,741.510933602,743.763619909,727.82731634,1.0218957206073802,-5.86386167695796
2021-01-01 05:00:00,743.790535418,744.265942944,741.243953522,742.209509,727.82731634,1.019760446382149,-4.7860162957547026
2021-01-01 06:00:00,742.5065098,744.3157585,738.788366561,740.886759791,727.82731634,1.0179430520919048,-3.953242109888677
2021-01-01 07:00:00,740.927759791,741.464059791,736.51024435,738.220112684,727.82731634,1.0142792062219674,-2.5127209070663348
2021-01-01 08:00:00,738.437412684,739.412650789,727.860560248,731.336307769,727.82731634,1.0048211867708476,-0.2891527041026798
2021-01-01 09:00:00,731.147307769,735.717831315,730.507090136,735.185968715,727.82731634,1.0101104372009615,-1.2649483298154962
2021-01-01 10:00:00,735.206631315,740.17794412,735.044151542,738.441471302,727.82731634,1.0145833423996435,-2.620109017470451
2021-01-01 11:00:00,738.602471302,742.863889779,738.209460095,740.589721545,727.82731634,1.0175349357168646,-3.7769778225338335
2021-01-01 12:00:00,740.433524732,744.824508541,734.491607245,734.71255875,727.82731634,1.009459994500651,-1.1081420871583703
2021-01-01 13:00:00,734.69785875,743.248328209,734.657094862,742.169840894,727.82731634,1.019705944297507,-4.759907957208043
2021-01-01 14:00:00,742.163840894,744.226905249,738.642635,739.853575625,727.82731634,1.0165235063524078,-3.357183965235766
2021-01-01 15:00:00,739.7830755,741.2010122,735.82301,737.380265442,727.82731634,1.013125296189814,-2.125451663725908
2021-01-01 16:00:00,737.378465442,739.226861097,735.22688018,737.470926687,727.82731634,1.0132498604139983,-2.1657182584622348
2021-01-01 17:00:00,737.412026687,738.040347469,729.248285827,729.890785827,727.82731634,1.0028351086042997,-0.10018881282380931
2021-01-01 18:00:00,730.063285827,733.165678523,717.613256,726.016246385,727.82731634,0.9975116763079088,-0.0775899137051006
2021-01-01 19:00:00,725.984246385,729.1346635,722.60131224,727.574380876,727.82731634,0.9996524787427985,-0.0015101625838731536
2021-01-01 20:00:00,727.507080876,732.142555602,724.90607365,731.696855602,727.82731634,1.0053165622876847,-0.3514525499515031
2021-01-01 21:00:00,731.535155602,732.003722142,728.877035159,729.94943686,727.82731634,1.0029156923247555,-0.10595666574131357
2021-01-01 22:00:00,729.95793686,733.143333785,728.0148741,730.888827164,727.82731634,1.004206369773802,-0.22024218269134366
2021-01-01 23:00:00,730.902827164,732.00974354,729.90224354,730.70724354,727.82731634,1.003956882539779,-0.19493956766591936
2021-01-02 00:00:00,730.68914354,731.37644354,718.479305709,721.508877923,727.82731634,0.9913187671372746,-0.9502837566288669
2021-01-02 01:00:00,721.524877923,733.158476517,717.311232237,731.202520204,727.82731634,1.0046373690410149,-0.26757298171586896
2021-01-02 02:00:00,731.268020204,735.764611765,731.268020204,731.577340079,727.82731634,1.0051523536624836,-0.33013175451124255
2021-01-02 03:00:00,731.654140079,733.527454735,730.749250956,732.089950956,727.82731634,1.0058566565451752,-0.4262561463574954
2021-01-02 04:00:00,732.057950956,732.300550956,728.268429201,731.503956056,727.82731634,1.0050515275168408,-0.3173694093638879
2021-01-02 05:00:00,731.433656056,734.944808639,731.396756056,733.27751273,727.82731634,1.0074883097510097,-0.6957177219990562
2021-01-02 06:00:00,733.68751273,741.741933948,732.810523956,738.585943722,727.82731634,1.0147818406103546,-2.691391168740953
2021-01-02 07:00:00,738.556943722,739.617815569,735.624881112,737.191346195,727.82731634,1.0128657301598525,-2.042742879138082
